"PID","Laddr", "Raddr", "Status"
"3870","10.0.2.15@53128","54.239.25.192:443","ESTABLISHED"
"3870","10.0.2.15@53132","54.239.25.192:443","ESTABLISHED"
"3870","10.0.2.15@56428","72.21.207.136:443","ESTABLISHED"
"3870","10.0.2.15@56432","72.21.207.136:443","ESTABLISHED"
"3870","10.0.2.15@59590","23.5.251.27:80","CLOSE_WAIT"
"3870","10.0.2.15@59592","23.5.251.27:80","CLOSE_WAIT"
"3870","10.0.2.15@59594","23.5.251.27:80","ESTABLISHED"
"3704","10.0.2.15@34802","151.101.40.133:443","ESTABLISHED"
"3704","10.0.2.15@34814","151.101.40.133:443","ESTABLISHED"
"3704","10.0.2.15@34936","74.125.28.189:443","ESTABLISHED"
"3704","10.0.2.15@37820","172.217.6.78:80","ESTABLISHED"
"3704","10.0.2.15@46542","162.125.34.129:443","ESTABLISHED"
"3704","10.0.2.15@46802","216.58.195.238:443","ESTABLISHED"
"3704","10.0.2.15@49370","52.1.89.148:443","ESTABLISHED"
"None","10.0.2.15@46990","162.125.34.129:443","TIME_WAIT"
